"Ytot";"Yprop1";"Yprop2";"OY";"RYT";"CE";"SE";"sd_val";"sc_val";"param_sd";"param_sc";"neutral";"Mng";"scenario";"dec5_Len_Fix0";"dec5_Len_Fix1";"dec5_Lfeuille_Fix0";"dec5_Lfeuille_Fix1";"dec5_phyllochron_Fix0";"dec5_phyllochron_Fix1";"dec5_Vmax2_Fix0";"dec5_Vmax2_Fix1";"dec5_ELmax_Fix0";"dec5_ELmax_Fix1";"dec5_PPtreshh_Fix0";"dec5_PPtreshh_Fix1";"Fix0_Cor_ParamAllNorm";"Fix1_Cor_ParamAllNorm";"Cor_PARiKin";"Cor_PARinonKin";"Cor_PARi";"Cor_Nuptake";"Cor_NuptakeKin";"Cor_NuptakenonKin";"Cor_PARivois";"gini1";"gini2";"keyid";"nomTrait";"complement";"MngN";"ref";"stab"
621.449326715912;0.503798984218672;0.496201015781328;-6.07893401391387;0.990405478671982;-6.07893401391385;0;0.001;0;"all";"all";1;"Lusignan30Irr";"1-1";51.8901367307063;48.5857163794178;50.6602413348978;51.1767129582249;50.2468289690177;47.250819886093;49.6522549599044;48.5150958593337;50.4549609647799;50.9622750145962;47.7387572357961;48.8717178957948;0.039396515680357;0.0362597327352666;-0.197672524644414;-0.149797762284755;0.995929239463891;0.99170259199797;-0.197672524644414;-0.149797762284755;-0.287014414053357;0.579275710022635;0.582747650228303;"1-1_SD1-1_Lusignan30Irr";"T6";0;"0N";0.496201015781328;0
1659.39794304008;0.501337381919427;0.498662618080573;5.17427092225959;1.00314161288918;5.17427092225959;0;0.001;0;"all";"all";1;"Lusignan30IrrNN";"1-1";50.5550398396709;50.0561100731668;49.6538901264094;49.5304396484819;49.4368910241731;48.7835084851098;49.8251699224604;50.4829189527575;50.997965568072;49.6317882312776;50.107620975589;49.2942052737961;0.0515134840969999;0.0584860130771048;-0.0991898091772695;-0.0432929570208137;0.993617533394939;0.992220510004308;-0.0991898091772695;-0.0432929570208137;-0.114200573888302;0.357205162763127;0.363871186489689;"1-1_SD1-1_Lusignan30IrrNN";"T6";0;"N+";0.498662618080573;0
631.930833783252;0.50749200048643;0.49250799951357;-5.15992295862925;0.991882414051184;-5.15992295862924;0;0.15;0;"ELmax";"all";1;"Lusignan30Irr";"1-1";47.5245464329428;47.690418978983;48.5017119288643;52.8713082241384;49.7651872687522;48.3965075536412;52.0139537168161;52.518048832314;81.524907307049;80.4422586610247;54.3967236960075;48.8347735928622;0.573702921667444;0.558508402389864;-0.126038429910417;-0.166105868581536;0.994416770839405;0.989026277407373;-0.126038429910417;-0.166105868581536;-0.239444845520853;0.59218613071903;0.587199328966514;"1-1_SD10-10_Lusignan30Irr";"T1-ELmax";0;"0N";0.496201015781328;-0.00369301626775798
1661.6570610238;0.505580900382135;0.494419099617865;7.2025968072291;1.00435827572967;7.2025968072291;0;0.15;0;"ELmax";"all";1;"Lusignan30IrrNN";"1-1";49.472674546367;49.5828810394596;49.364199111521;49.3594160418914;49.9132908978079;49.0000521435263;49.9332019936993;50.1759042682271;54.565499769439;53.7204340557114;49.6411540771776;49.3666356400964;0.283032424162715;0.246801675631804;-0.0549974580663977;-0.0440033329413061;0.99352965029422;0.992076121372844;-0.0549974580663977;-0.0440033329413061;-0.0772072562354316;0.358817311195028;0.368214563848492;"1-1_SD10-10_Lusignan30IrrNN";"T1-ELmax";0;"N+";0.498662618080573;-0.0042435184627076
672.35686424776;0.500422168519959;0.499577831480041;-2.60192476948966;0.996137107506844;-2.60192476948965;0;0.3;0;"Lfeuille";"all";1;"Lusignan30Irr";"1-1";49.5649048891095;53.7130755444057;84.1127549058599;84.6181242970049;47.4442662296591;54.0928967801637;47.7810640315757;51.9426274160623;48.3904451472725;55.7763689202377;46.5008594107952;46.5116139441654;0.530338827937105;0.550934545830877;-0.10311822807045;-0.159794063749;0.995380195962967;0.996276342743238;-0.10311822807045;-0.159794063749;-0.213617340923446;0.646936185161367;0.646898190926584;"1-1_SD11-11_Lusignan30Irr";"T1-Lf";0;"0N";0.496201015781328;0.00337681569871273
1655.82436915936;0.503049224516712;0.496950775483288;17.1195244249466;1.0104643816407;17.1195244249466;0;0.3;0;"Lfeuille";"all";1;"Lusignan30IrrNN";"1-1";50.1713510816323;49.5723194636691;69.1956596030943;69.0237202691339;50.3489416387155;49.6696479841215;49.9557561628634;51.6890281217486;50.1183013332283;49.4080519697038;48.8214544420136;50.684743860911;0.702656860973474;0.691674148459204;-0.11182501240894;-0.154746261228812;0.996829621470292;0.996727536944966;-0.11182501240894;-0.154746261228812;-0.215577943455174;0.444143086467025;0.453094801679343;"1-1_SD11-11_Lusignan30IrrNN";"T1-Lf";0;"N+";0.498662618080573;-0.00171184259728485
649.346232447798;0.498393081758979;0.501606918241021;-9.69151347209856;0.985253874938479;-9.69151347209856;0;0.15;0;"Lfeuille";"all";1;"Lusignan30Irr";"1-1";49.1999882710628;52.0650042332399;78.3111962889375;78.4816379488972;49.0059296603144;49.0551232924908;50.5945587112113;52.8321276223504;46.5190041853265;53.0945134412577;50.5125577058081;46.4905506762164;0.448311786908615;0.442381950108879;-0.120305198466453;-0.144988418352508;0.996260438512606;0.995538150975069;-0.120305198466453;-0.144988418352508;-0.216995212476273;0.620675604768408;0.62788874699313;"1-1_SD12-12_Lusignan30Irr";"T1-Lf";0;"0N";0.496201015781328;0.0054059024596928
1658.9658824767;0.505016127315278;0.494983872684722;25.238499905868;1.01545689016915;25.238499905868;0;0.15;0;"Lfeuille";"all";1;"Lusignan30IrrNN";"1-1";49.6746381105776;49.2034719504722;62.2002872531103;62.6062335691871;50.3695311986365;49.6922092678136;49.8463408575725;50.1576956968368;50.258925328548;49.7123723696423;49.2301767180759;49.7279784592766;0.590371232802583;0.575596374525846;-0.084980424273937;-0.0973843306858715;0.995480145615067;0.995204517699905;-0.084980424273937;-0.0973843306858715;-0.145930730796195;0.387599703485085;0.398357748093658;"1-1_SD12-12_Lusignan30IrrNN";"T1-Lf";0;"N+";0.498662618080573;-0.0036787453958505
668.348640709968;0.522714278477629;0.47728572152237;10.1211539345564;1.01531479045047;10.1211539345564;0;0.3;0;"phyllochron";"all";1;"Lusignan30Irr";"1-1";50.4063660080829;50.5212685102856;44.8421464934427;48.2472645072864;12.7731800437986;13.1779551342971;51.8972761312302;56.0609686746135;51.5618490234107;53.5850804465361;46.5285673936244;52.8036719790423;0.703761443542399;0.69947254883299;-0.129800194254613;-0.180428624389277;0.990399948285129;0.993852658901323;-0.129800194254613;-0.180428624389277;-0.25242574334553;0.704416630074364;0.697887366496074;"1-1_SD13-13_Lusignan30Irr";"T1-phyllo";0;"0N";0.496201015781328;-0.0189152942589576
1673.51763359348;0.505270859455065;0.494729140544935;-0.0128986319535762;0.999992296542212;-0.0128986319535748;0;0.3;0;"phyllochron";"all";1;"Lusignan30IrrNN";"1-1";50.3594779504798;48.5099722137335;49.2035960891374;48.705836311826;27.1582704578542;27.1491122564552;50.8749984463858;50.7857731045693;49.2522215045616;52.6546850143542;48.0001160362337;50.7306501636677;0.822682776734303;0.819047351791828;-0.111765848568151;-0.155213361144234;0.998439293805907;0.996879537492435;-0.111765848568151;-0.155213361144234;-0.219762991013652;0.479226979726992;0.482893382731755;"1-1_SD13-13_Lusignan30IrrNN";"T1-phyllo";0;"N+";0.498662618080573;-0.00393347753563822
